attendance,assignment_score,internal_marks,final_marks
62,17,24,85.8461763298435
60,18,26,85.92365583819796
64,12,18,63.29320484471419
85,14,20,76.6684913658211
73,16,24,88.68378833703198
98,13,21,78.10264930913524
86,17,24,89.22985790147372
68,16,25,86.08942825894655
74,16,24,83.98597031176556
74,19,23,94.23151641922652
85,17,24,92.83445888807933
72,15,24,77.57815792332946
91,14,19,79.93572842674762
98,15,20,84.40708107719969
91,12,20,73.65410045549058
63,10,15,50.95677638417115
89,16,27,100.0
96,19,28,100.0
82,14,23,85.6174035203534
98,20,28,100.0
74,14,16,69.46995885342992
88,9,15,61.74249226880782
72,14,22,76.47591242860243
91,18,27,100.0
66,11,19,63.94917055853395
81,16,26,92.1157076351831
87,13,21,77.67384139911613
61,16,24,81.67846036558005
65,17,23,84.83037828827881
87,17,26,92.5719860491108
87,15,23,84.90057126017857
79,11,21,69.81938348140227
89,17,26,97.23104639233296
70,18,25,86.03908748796204
87,12,19,72.60768176030136
84,12,21,71.56618513191701
98,18,30,100.0
92,14,21,76.47999945214865
60,12,18,68.4568425974911
86,16,21,87.27713530205773
72,13,18,76.43156344564827
100,15,23,89.36905550198908
62,14,18,68.73681150453221
98,14,25,89.31167489433938
65,18,26,90.45373972119779
67,8,12,51.13424579291965
86,17,26,91.06671647399547
68,18,29,91.37193296648606
96,13,20,76.55935365033326
92,18,25,91.35040539118073
83,12,19,74.79816855920751
74,13,22,72.9224914684044
91,13,18,75.16630593932469
91,18,29,99.71124687359519
83,10,16,62.492548553138484
100,20,30,100.0
71,14,20,76.56338687054621
98,17,25,90.68205480598482
61,17,26,85.22045078264483
62,15,22,77.4338920040963
96,13,18,78.72016223625991
76,19,26,94.86169229895742
61,13,20,76.68137922591288
61,13,20,68.42589758260802
87,18,27,98.5131991661671
82,15,26,85.96689111941195
96,19,25,97.33797441858857
91,15,23,87.69476227717941
92,13,16,72.48142730187563
60,16,24,84.9201948313009
78,14,22,82.78980724274169
61,13,19,70.23189172720004
85,17,22,86.56235247611004
91,20,30,100.0
65,14,21,73.26753993447656
91,12,20,76.1173200359203
63,15,20,73.69522228944514
70,17,28,90.53462627535892
76,16,19,82.62746264774329
97,19,26,100.0
83,17,26,97.24764836927294
64,12,19,65.97061862629168
93,14,24,87.28771299425158
65,11,17,62.93989297419115
81,18,27,96.09556806957839
70,9,14,53.57595871991926
75,11,12,60.90211300902936
92,13,17,69.82646825445161
68,17,23,85.58379183694852
65,13,21,72.9315994907885
75,14,24,81.49152517369069
88,14,25,88.63277509054159
62,16,25,82.46272290191138
79,11,18,70.45503980921875
95,12,18,78.03314448513514
78,20,29,100.0
85,16,22,91.78356447870279
62,17,23,80.81837480263553
78,15,20,79.35785610581516
79,15,24,82.78347222151602
91,16,23,89.03213230664541
66,17,24,91.3905362821816
100,18,23,95.84356457502619
92,15,21,82.50246691640473
99,18,26,100.0
77,18,30,99.92125056188044
99,14,18,82.60731714219433
60,17,28,94.46732599369389
70,13,19,70.93090667124982
87,11,15,66.25710055986691
84,16,24,94.81976051055099
82,10,15,60.18038543474301
90,14,21,81.19307752952062
89,13,18,69.28030068396792
94,14,22,83.14869648005882
66,17,25,84.14854796621094
75,14,18,71.54937521840156
85,16,23,89.56417655458272
61,17,28,92.98199768409926
60,13,20,73.67771562516467
71,13,20,74.58147770179558
64,19,28,99.03421242353419
96,15,22,91.06189052789068
91,17,26,97.94673517023534
68,17,25,90.35601221107635
100,11,17,73.83864663170738
94,13,20,78.45089451503696
78,16,22,80.05783898886082
75,9,15,59.597305536644654
62,14,19,72.44767774370773
79,12,16,60.63352371085229
83,18,27,98.48547765330764
92,16,25,90.79084777964883
83,19,30,100.0
70,15,18,74.4927466237505
67,15,24,79.7046611595304
95,14,22,87.30013439634604
97,13,18,75.838697845248
99,20,30,100.0
79,17,26,91.96186523074617
94,12,11,62.073148474914554
84,20,27,100.0
94,14,23,79.22373303826673
84,16,23,88.07413744238927
88,18,27,95.22742084717933
77,10,15,62.44621930717718
77,13,21,73.63559799974587
61,20,29,97.84564765234207
94,14,20,83.86059044403147
75,18,27,90.26689090363072
100,14,23,86.86966149091731
95,15,25,92.23613400997293
92,20,29,100.0
63,16,23,79.5148346655774
92,14,21,82.55310972986298
73,13,22,75.53740190598657
80,13,21,80.00849687422506
79,19,28,94.28863149244005
67,17,22,85.65398444011534
66,12,20,67.34181473917323
62,15,25,83.28335274038696
76,15,20,74.6393552469173
92,16,23,92.9671478581771
71,13,21,72.43695433861616
81,18,28,100.0
81,15,19,76.12443965950968
89,16,22,85.54201846439784
97,13,21,86.38140759823354
97,13,20,78.91054136612236
67,20,30,100.0
86,20,30,100.0
86,15,23,89.46055952989842
93,20,30,100.0
80,19,27,95.20081040598697
89,13,20,76.87559314086285
92,13,20,77.81134035143647
87,17,29,100.0
92,16,22,88.45505012050748
64,14,22,75.56107583729526
78,17,25,91.85286982935013
63,11,18,61.68134900865474
94,15,22,87.59258127887043
76,11,19,68.01812021830939
87,11,15,63.31809365933931
89,13,20,75.81895999412592
88,16,25,94.74547457765654
65,13,18,70.92725597197098
94,11,17,72.10099001277094
100,16,26,96.5110685579748
96,19,28,99.35825486587161
83,17,27,93.98365261568439
88,20,29,100.0
90,19,26,100.0
94,14,22,84.96406237819767
92,17,24,93.09051971031474
80,15,19,79.85835034464583
91,18,25,93.67513771521432
82,15,25,88.23706552243583
92,13,22,78.86076728626662
62,19,26,91.12933950614926
77,16,21,85.36144808210675
84,13,19,78.31720484669275
90,14,23,85.15508095547358
62,13,19,63.09658820097785
99,12,18,71.8206720094284
83,14,20,74.58032959061302
91,16,23,90.12941551072831
81,15,24,84.39872365097479
82,14,21,80.49143499726965
61,19,28,98.18201852395322
86,9,15,63.79095964128337
61,16,24,80.50017513373064
85,15,24,90.74520936381298
76,12,17,63.857104589658924
99,16,25,93.98672949300018
92,14,23,86.28039895990192
68,19,30,99.40521294320952
98,18,25,98.60236554251017
88,20,30,100.0
85,14,18,79.56628114242662
94,19,27,99.76691349497467
84,12,18,68.54649967280243
83,15,18,74.08344430043888
72,14,22,77.34873806032702
66,17,27,91.63663993334225
95,17,25,99.19121942527346
79,12,16,60.40248460237767
60,17,25,79.9073686813926
67,14,25,83.56354273969906
75,13,18,76.00484098704885
73,15,21,82.40728940666345
71,11,12,53.824802065027455
82,18,29,98.89725077696603
74,15,20,75.14347813380732
87,15,23,90.33016653526953
93,15,27,96.84208351757388
61,20,30,100.0
91,20,30,100.0
82,19,28,100.0
81,15,23,82.86295483771822
84,12,18,71.09688601423402
81,15,24,81.68174259571084
81,16,19,83.96439177653487
65,17,26,88.37446547395895
74,16,25,96.2927187626837
96,12,23,78.50241557326406
92,13,19,77.36367493195031
67,13,20,71.45511564877327
64,17,26,87.11395180953095
98,17,26,95.4797413469156
63,17,23,79.59705964953353
65,16,26,82.016912452627
91,9,12,58.506160655393096
89,10,16,65.71725321321436
94,15,21,86.56182715214425
99,15,22,90.18420412020191
75,19,28,91.41276417835411
72,15,22,85.34954417604075
89,12,18,66.61233806935904
78,17,26,95.36199182540891
76,15,22,81.14349912791471
78,14,23,88.68627939227106
87,10,14,63.94506536471976
85,15,23,83.01844561116224
96,16,22,95.42224263729605
85,12,22,80.78214116742834
82,17,26,94.53425312944812
68,17,24,86.33265233979212
71,15,26,95.9184938474811
60,15,24,81.70706886308078
60,18,26,92.18159071061143
93,16,24,95.874815982565
91,13,17,74.31179616300041
84,14,19,79.07200432423579
99,17,28,100.0
60,9,12,49.54132348907737
75,12,15,65.57636069515897
98,17,27,100.0
64,19,30,100.0
81,18,29,97.6739387093844
88,18,30,100.0
62,15,27,88.40741830838584
71,12,16,62.402146600134564
85,14,20,81.96126723115269
75,9,10,47.031155647291925
96,19,26,100.0
81,13,22,77.43795671863788
88,13,20,78.28882087980473
73,18,30,100.0
87,10,13,63.1845490616471
64,11,15,60.29464408480643
89,16,25,91.60571429924144
64,17,28,92.87563849898383
71,15,19,77.19214425904114
75,15,22,85.63700445017433
85,19,29,100.0
85,17,27,94.29162225593925
80,17,27,96.49059794269793
98,17,25,93.87552233217514
95,14,19,76.79797122685517
92,20,26,100.0
89,8,12,55.745151069854366
96,19,28,100.0
82,18,25,90.40856091961112
69,16,26,90.39586709479123
64,15,20,79.05264669763716
95,15,21,86.76213131534668
93,18,29,100.0
90,15,21,83.43758607529783
69,13,20,71.0941837584051
78,18,27,98.01920252966899
91,20,30,100.0
60,9,15,58.46502894910059
64,20,30,98.3954145264747
63,12,15,65.26038396991996
75,12,16,69.05686796740135
83,11,17,65.62773173177928
75,15,21,79.93360058194204
61,11,18,64.30517053362632
87,12,19,75.11576659923904
91,13,16,71.2478048213725
86,15,26,88.50569422526166
79,16,23,90.30214760943387
83,19,28,100.0
71,19,29,96.26591671912007
94,18,27,100.0
92,14,23,82.06149357460018
92,9,11,57.74006008731726
96,9,16,60.25016967808855
71,18,28,93.04895650854087
62,18,25,91.2549363472174
60,13,20,70.23731242922243
92,11,19,71.35846525574995
99,12,19,77.68187740809343
69,16,24,83.09474980993184
88,16,25,87.29613771422794
72,18,28,96.36466061535057
71,14,20,82.83923214992542
90,14,21,85.01449400390264
61,18,29,95.86025582334614
94,9,14,59.87234095337947
82,16,23,85.77562667295776
76,14,22,78.23781567946546
85,17,25,91.22309159234666
67,17,27,94.63775924339005
88,13,22,79.12858880305764
85,13,21,75.98898429401368
69,8,10,43.999345472899094
85,17,26,91.93851499189356
93,16,19,79.66158972560527
100,19,28,100.0
66,14,23,77.17538957950406
63,18,28,95.28390127208223
70,12,18,68.58287584964405
88,7,15,59.43485235491413
95,15,19,78.58156290073443
84,13,17,78.40569601910886
80,12,19,69.46145800912525
95,18,29,100.0
69,19,30,100.0
96,15,21,87.13881695495209
68,14,19,72.38483238453276
83,15,21,73.60393103762593
94,13,20,77.03101795879866
94,17,24,91.60243312147023
95,10,17,73.96973463675889
77,12,18,74.36827795324132
98,13,18,80.18163276806996
91,17,24,98.51534833415093
83,14,18,75.3072888167261
82,19,27,100.0
91,17,24,92.59361395499538
96,13,20,82.58213134130251
71,17,25,92.70511950019667
72,14,19,73.94328161810417
82,16,22,83.8240916353234
84,18,27,90.66130954076866
94,18,23,92.54466695445232
100,16,23,94.20207390947625
89,20,30,100.0
76,16,24,83.03616556584682
79,15,23,82.55045518979308
84,14,21,83.49722398167474
81,13,17,71.56682816658684
72,16,28,87.31209959229327
78,15,22,81.28175530035405
95,16,24,87.50950164550507
71,16,23,83.680306480241
100,16,26,88.64501544758517
78,20,27,98.99559707998733
71,13,22,79.72690299450439
68,16,23,85.20039334755235
66,14,20,77.36135381810439
87,8,11,54.333832713582844
73,14,25,83.37555844215898
90,12,15,67.56120814353137
78,15,21,80.22338959441994
75,15,20,77.68843450182675
64,16,20,82.28153770390203
71,14,21,72.09950355698024
84,17,23,96.31194474896688
80,13,21,75.24349082460968
95,9,13,67.72818023084272
82,15,21,84.33342118730448
98,17,25,100.0
98,16,22,96.59617397776174
73,19,30,100.0
90,18,27,99.39759091482918
64,14,22,78.34083043808104
94,16,23,85.75579203405124
82,16,26,86.98817594434784
88,15,23,84.44265791855759
70,18,29,98.74792553473192
77,15,25,83.0019347992296
71,13,22,75.34297789096064
68,7,11,48.88300761837658
76,11,16,63.38608251096525
97,15,21,84.56987373415157
66,11,21,70.80415410318905
72,17,24,91.117561137137
99,18,29,100.0
68,15,24,80.99924785665286
86,12,18,74.32551196896469
61,16,24,88.42279578320174
64,20,30,100.0
88,20,29,100.0
96,11,17,66.45549074288553
97,11,14,71.24865092000312
78,10,16,70.55281909629728
67,12,18,64.29973715386696
60,16,22,83.45374140403275
81,13,17,73.51037795632405
76,12,18,68.51759796903795
66,18,27,92.58560143176103
84,17,24,94.82474430898618
63,10,16,58.60036539072004
95,18,28,100.0
65,17,26,92.2393652265999
90,17,24,93.57949228341214
78,13,18,67.79441260619159
98,14,18,76.29218798365982
86,9,13,61.037018491044094
69,18,28,94.72044233558269
85,12,16,74.03012894216596
78,12,17,71.67921338495987
98,12,18,78.08042921420778
62,20,30,100.0
72,13,17,71.80252525182888
87,18,30,100.0
79,15,24,83.14599261484398
87,13,18,77.5695043176338
67,12,16,66.41784009958631
100,13,20,83.6421153306558
98,15,23,92.25492817153858
60,17,24,82.65227479652796
62,14,19,76.63023194549615
72,13,18,70.61405992511538
87,12,18,79.15574459316528
84,11,17,70.11842047829977
92,11,21,76.66604556808352
97,18,23,91.74755971336884
65,13,18,67.08684447379916
91,14,20,74.6265995437289
80,13,20,76.01018991511118
75,14,22,81.58228562870332
80,16,24,89.48903998116748
70,14,24,83.2883841917556
96,16,22,83.13783904735497
95,19,27,100.0
94,13,17,69.20003918289824
78,14,21,81.43078559676839
79,17,25,91.38811347413346
77,19,30,100.0
100,11,20,75.94610667058018
73,10,18,63.759172581912644
74,15,20,78.43283886926375
90,15,23,86.9749993263536
60,17,27,87.01430856753667
62,17,27,88.04426711957741
75,15,27,89.38452187972234
82,18,27,96.53847137864118
70,13,20,72.51689070291089
71,16,28,89.69016371363234
69,11,17,59.39396533422617
91,15,21,83.6496131965179
75,11,15,59.52916197424621
67,12,18,64.92752846704973
97,20,30,100.0
71,10,17,64.79840343694808
83,14,19,76.25027899299621
87,17,26,90.08705761929183
67,20,29,98.81684703808996
87,16,24,88.49731109688555
95,16,26,92.19938491227686
85,15,22,83.82262919610449
67,18,28,90.4602682040036
87,16,25,89.73074728748166
87,13,18,77.97888283292518
96,18,29,100.0
100,14,19,82.23927631254678
95,10,12,64.40866487234278
86,10,14,60.908486543218906
76,14,19,79.09261548902505
68,15,24,81.96006819260036
92,18,30,100.0
79,17,28,96.01831431821098
72,15,21,81.6185440731502
87,18,25,89.16057675940273
88,15,24,87.15409209122122
72,11,14,61.02653740636423
94,10,13,61.20296019081055
65,19,29,96.50225749500937
77,8,11,52.946545502141895
64,14,21,77.3455299806267
84,20,29,100.0
61,16,24,81.79575996195553
69,14,23,85.66772390372367
89,10,16,64.02498982530987
64,20,30,100.0
92,19,30,100.0
60,17,27,83.71887221195817
77,15,22,84.28939101186856
91,17,23,86.53826853366228
70,15,22,79.4264981484539
80,12,19,68.86077396968615
85,18,27,94.61802600912378
84,15,23,85.57264079898725
81,17,30,100.0
86,15,21,79.98716651140153
72,16,23,80.62160337546071
92,15,25,92.575521626818
93,15,23,92.07776451971185
100,15,23,87.06129180329602
94,20,29,100.0
60,17,24,84.55446127473988
80,20,28,96.45802030675308
65,15,23,78.95740638596855
87,14,19,77.3071037748049
76,12,16,65.06103994862698
64,20,30,99.27639451973836
64,20,28,96.95258276692897
97,12,15,68.63058682341087
62,18,29,97.17237467102437
82,10,15,64.41668070251418
96,14,20,80.43727980295355
96,15,23,81.5057260229043
69,13,20,72.19745401184059
69,14,20,73.92435842208808
78,15,22,87.74272138262258
76,17,27,87.51908212792361
80,9,15,59.13984478144229
73,13,18,72.87876151627236
68,19,30,96.76868229827126
60,17,30,90.9719072393912
72,19,28,92.90084541982637
63,17,25,85.95317745301415
60,12,16,59.24301445797044
99,17,24,93.89410274070306
91,15,23,83.8917770005129
93,20,30,100.0
87,17,27,97.52515204223941
90,17,25,96.55061098295552
67,17,25,85.56875038988653
98,16,23,94.75552958367102
85,16,26,90.8959347043815
93,14,21,82.96967586795792
62,17,26,89.38698987474248
71,18,27,95.68319950270431
60,18,30,95.97032172800044
64,18,26,95.68323180741791
89,20,29,100.0
89,18,26,96.66544144047342
76,17,26,96.6057657593236
82,12,21,76.39077659384996
74,12,19,66.82747676234511
96,14,22,87.10120951397198
80,15,24,88.52319658355324
73,19,25,91.65725409942088
61,7,10,46.14877240282373
70,12,17,69.52661411052732
98,14,21,83.1209807332447
97,12,16,70.55958339337177
93,13,21,84.47630557657767
97,14,21,86.23967262847141
93,12,18,76.82857161009953
77,13,19,72.12428801719952
89,19,27,100.0
74,17,22,85.80562796569951
86,17,26,93.71937639783907
93,15,23,90.86317054394947
97,18,28,95.31711077721889
92,18,27,95.59407219664806
83,17,23,88.9586108526421
74,13,18,72.32305459989689
89,14,24,85.18765933924801
76,18,28,91.04824017532955
64,13,21,71.53226450126006
88,11,18,68.28521118209933
63,13,18,68.05682795050971
69,20,29,100.0
76,13,21,72.6216400035546
69,16,22,75.24995733417393
76,13,19,71.79333623438811
79,17,24,90.37320995382434
83,17,24,89.54541024246363
64,11,16,62.36277633963001
93,16,23,89.59231066315735
65,10,14,56.677068828991175
61,13,20,71.23108799302855
72,15,24,80.61889949646222
70,20,30,100.0
82,16,24,84.22566262856074
75,13,23,81.50001465805443
90,14,22,83.87359909771943
70,18,29,97.60101357085419
75,13,19,74.61233296581328
67,18,26,87.63460298070152
63,13,20,76.27191195985155
99,12,20,80.07093944973515
63,14,21,79.86011144242998
84,10,14,53.22703332815095
91,15,19,78.12513327587516
62,15,23,79.32635887211654
86,16,26,96.05074604089135
88,15,18,74.09350164329408
91,20,29,100.0
78,16,22,81.12379880859649
80,11,17,66.2342901121061
64,12,17,67.15002069700127
77,15,20,79.65584152135617
87,14,20,78.81029973918972
81,11,15,66.32842460338061
80,15,23,85.94017335226332
65,15,22,74.36223641872338
60,20,30,100.0
64,12,18,65.2149942070624
100,14,23,92.8245689526126
71,20,29,100.0
85,16,25,92.25994343267506
93,12,19,73.9777681314221
73,13,19,74.92787768576466
85,11,18,71.91937523829198
86,15,21,79.17493673089302
68,18,29,99.80685699039702
85,20,28,100.0
81,11,14,63.93477985737498
89,18,24,96.35683147966962
76,15,23,83.36220002888926
85,14,20,82.52545200761834
95,14,21,91.95311585871542
60,9,11,52.33520806963146
67,17,26,88.42240428402974
94,11,17,67.94754112916829
74,13,19,76.7871813405022
81,16,25,89.22499725330373
73,10,16,61.24303791778715
85,11,17,70.48908572337702
87,19,30,100.0
82,15,25,84.49141408947493
73,13,18,71.51254454303995
83,15,25,86.48299242113968
61,17,24,81.79353729646824
85,18,29,100.0
73,12,20,73.79038336474707
66,12,18,67.84593928982132
62,17,25,86.2218288756837
82,17,25,92.49911151228122
77,11,15,64.1127180667936
97,12,17,74.47289902684437
94,14,22,84.97195620391074
74,15,24,88.28643690299533
84,15,22,83.32524597875732
96,11,14,68.0668108231278
87,15,20,78.75955387417024
69,13,19,70.04955826654633
98,12,17,72.41547829852574
76,15,25,87.09169915698712
98,15,21,84.76519833444331
81,17,27,96.53781503742324
85,12,17,75.25500069811288
84,16,23,92.36661914629293
76,10,15,58.85095862380656
72,14,22,83.51571750045292
79,16,25,89.61362560627367
84,17,24,87.92130802221985
63,17,26,84.06386356000709
69,17,25,88.01350332806265
62,14,18,74.52535506832214
100,16,24,89.54238783501715
77,20,30,94.8589636152375
95,14,24,81.82476980114899
81,19,29,100.0
93,18,28,100.0
67,14,16,73.73044857986089
99,14,26,94.19703963029896
78,15,25,87.25389637918282
100,17,27,94.08756686378267
96,16,24,96.26523182831559
65,14,17,68.39840429029714
85,9,14,63.93379932170105
93,17,26,94.05270880010181
65,9,11,48.829238119369215
96,11,17,70.17273523718293
92,14,23,86.77075208220332
81,11,17,67.48434280888384
80,16,25,88.50144535981164
65,14,22,76.06704799795563
65,17,25,84.5337354611891
63,10,17,62.22923721912034
89,13,23,83.37705457912189
70,15,23,85.22070295284405
89,15,21,86.52083991956434
90,17,23,94.04163251855466
83,12,19,74.26315082611313
68,14,22,79.10717093104431
62,17,26,92.82779739334919
90,8,12,55.13822829183285
99,16,25,92.42981096736884
96,17,24,97.99198980251329
95,11,15,67.92806896013342
83,14,19,77.7881530317461
90,19,27,100.0
65,17,27,94.96702628589878
61,16,23,82.72877094961201
79,18,26,96.65778021011897
87,20,27,100.0
70,15,24,84.15823212471614
63,14,23,74.02485537095563
74,18,25,94.20089856135417
65,14,21,77.34350274506701
89,12,16,64.69350010707434
97,13,19,80.46921580554425
61,16,25,84.53064263136793
74,14,24,81.24356864990595
70,14,20,80.93336100538806
67,12,19,67.29416121706835
85,19,30,100.0
64,14,21,79.9957350813705
65,13,22,75.36176281117604
85,13,19,70.12489081641624
63,17,26,89.8170230564055
78,17,24,86.47677170792015
79,13,21,78.17068095361651
92,15,23,90.80690286281022
79,16,26,95.18388264849794
71,13,23,80.11989009742538
60,10,17,58.93172743785695
85,17,27,98.0098354308479
73,13,19,73.22467122165267
97,16,19,90.1202253084924
96,16,27,97.07879505977368
70,15,26,88.35795847361706
95,14,22,86.90712895793021
72,13,17,71.73953635504131
62,12,21,68.40677806139938
92,13,22,83.43893860726531
65,17,21,79.40347943699116
69,19,29,94.32971717501609
64,19,29,94.8560197383784
82,15,19,79.35502307627121
69,19,26,95.78261462110396
61,14,23,73.9509352715903
72,11,17,65.44286567984769
99,20,28,100.0
61,17,24,82.49165014661506
79,10,13,53.93127602171468
60,20,30,100.0
96,13,21,82.92493865283996
68,13,22,75.00978615474803
76,18,26,91.90401409243019
68,19,28,100.0
70,12,19,70.8657014237324
74,19,30,100.0
83,18,28,98.2089138835375
97,13,22,87.40271599388905
94,14,25,84.41841502989045
89,20,27,100.0
90,10,18,71.56977442988833
64,19,30,97.43733632133019
73,18,25,90.32295879849066
70,17,26,92.28059261821659
68,15,24,76.91425208692498
93,20,28,100.0
71,20,30,100.0
94,13,20,78.61723882838172
94,17,23,89.9907101831755
60,20,29,93.11112105806674
99,13,22,81.90296692349355
81,16,27,92.23343812620544
88,18,25,98.3684313842595
70,17,28,93.46397215540834
100,12,22,81.81479394070983
96,16,26,95.72410441068543
89,8,10,55.130299593372726
94,17,27,99.59572268918862
80,20,30,100.0
96,13,18,75.83837151185155
64,17,26,94.2955085527975
78,19,28,99.15603484095263
73,10,17,63.71827505679913
85,17,21,85.07588955225673
63,18,28,95.01285755200395
84,17,25,93.35103352375616
84,15,26,96.59734069943377
77,12,19,74.26222097172919
99,19,30,100.0
67,15,21,79.7351464038922
98,12,18,70.9235597722068
99,14,22,84.99477294451908
73,16,23,85.7205721066481
91,10,15,62.49503746737279
97,15,23,86.496830096351
92,14,18,76.77350729774845
82,19,27,93.70496302431701
74,9,15,61.41591963656511
92,18,26,100.0
84,19,30,100.0
76,9,14,53.3837094938108
92,10,11,59.80987626597384
61,20,30,96.24170752693523
73,12,16,65.89559410858466
99,20,30,100.0
99,10,14,65.25603961499733
98,16,23,92.6368642943459
65,15,25,82.47826083991778
65,14,18,70.77827647340602
62,16,23,79.42579333047523
66,17,24,82.16599877432722
67,14,24,83.65203104234885
74,12,17,69.82205924852784
88,18,25,93.92137421156
92,17,26,92.75660903168335
89,15,21,84.42183442077987
98,17,24,95.94757175993506
86,17,27,97.12413064125717
95,13,14,69.24647061324794
88,17,24,93.42585230065443
97,13,18,79.75818893908627
92,17,29,100.0
96,14,22,90.38402947394229
86,17,25,92.04938813044261
92,14,21,83.53755266018096
63,17,26,90.51404682243461
81,12,18,69.80885909614207
61,15,23,78.88562180424971
69,18,30,98.22372168979015
64,16,23,76.48778218211255
69,16,24,87.92057198656184
92,20,30,100.0
97,18,29,100.0
72,18,26,87.4513123307475
90,17,25,94.75598398066961
95,17,22,85.91279189002344
83,20,30,100.0
74,14,18,72.52005831714068
88,18,28,100.0
67,16,27,94.9840202574997
64,14,25,80.78355398563114
88,15,22,82.77395860998742
63,16,23,88.62343752023678
71,12,18,65.74379476675198
61,18,29,93.90732103851678
86,15,22,87.06761257485847
90,15,22,85.83614483693283
95,19,30,100.0
95,15,23,88.49715783481795
85,20,30,100.0
86,13,18,77.13252262248695
64,12,20,65.32561103433355
79,14,21,76.34882207066221
70,7,10,49.29973828167376
69,18,23,87.57594487913369
99,12,20,74.69556522959098
97,13,17,76.53863324603871
65,17,26,88.2628524483283
67,15,21,79.10253710430014
82,14,19,73.60371723542563
85,9,15,60.754897763931886
71,19,29,99.49493782976917
85,17,26,95.98331791783153
72,20,30,99.70635386946424
99,13,23,82.90731774377322
77,11,16,66.97952126731262
84,18,24,88.91725379075716
92,14,24,88.02693043940789
99,17,23,93.33802697145613
71,20,30,100.0
95,16,23,93.25920355854761
63,16,24,80.65872218782208
64,16,26,86.13220014273091
96,10,13,65.58006617652535
67,18,26,93.8514729793107
87,19,30,100.0
90,17,29,100.0
68,10,20,65.29044155842348
88,15,20,88.24106955546213
73,19,28,90.5628470037659
99,13,17,71.32341405967054
100,19,30,100.0
81,15,23,84.11627265651519
70,17,27,85.99843781732967
82,14,20,75.12857575405688
60,15,24,84.27314281662316
96,16,24,95.21613731396944
80,12,18,71.94359773249583
85,16,23,86.18747172192455
95,7,13,57.93675745475163
82,13,17,71.23201063242328
60,17,25,84.54821054027353
99,18,30,100.0
74,16,27,89.68424969154067
80,11,15,61.20356681092596
68,18,25,88.2187276861116
68,12,19,66.19110191178261
69,17,27,90.57274175196204
